clean_path,noisy_path,noise_path,snr_db
data\timit_mixed\SI599_clean.wav,data\timit_mixed\SI599_snr0.wav,data\noise\buccaneer2.wav,0.0
data\timit_mixed\SI1498_clean.wav,data\timit_mixed\SI1498_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI660_clean.wav,data\timit_mixed\SI660_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SI2230_clean.wav,data\timit_mixed\SI2230_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1731_clean.wav,data\timit_mixed\SI1731_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI1773_clean.wav,data\timit_mixed\SI1773_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1638_clean.wav,data\timit_mixed\SI1638_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SI811_clean.wav,data\timit_mixed\SI811_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI2242_clean.wav,data\timit_mixed\SI2242_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SX309_clean.wav,data\timit_mixed\SX309_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI1920_clean.wav,data\timit_mixed\SI1920_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SX27_clean.wav,data\timit_mixed\SX27_snr5.wav,data\noise\demo_noise.wav,5.0
data\timit_mixed\SI1705_clean.wav,data\timit_mixed\SI1705_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI871_clean.wav,data\timit_mixed\SI871_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI1224_clean.wav,data\timit_mixed\SI1224_snr5.wav,data\noise\white.wav,5.0
data\timit_mixed\SX321_clean.wav,data\timit_mixed\SX321_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1776_clean.wav,data\timit_mixed\SI1776_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI515_clean.wav,data\timit_mixed\SI515_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI2317_clean.wav,data\timit_mixed\SI2317_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SI1248_clean.wav,data\timit_mixed\SI1248_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SX247_clean.wav,data\timit_mixed\SX247_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI938_clean.wav,data\timit_mixed\SI938_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SI1956_clean.wav,data\timit_mixed\SI1956_snr5.wav,data\noise\pink.wav,5.0
data\timit_mixed\SI1732_clean.wav,data\timit_mixed\SI1732_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SI1570_clean.wav,data\timit_mixed\SI1570_snr0.wav,data\noise\white.wav,0.0
data\timit_mixed\SI2055_clean.wav,data\timit_mixed\SI2055_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI817_clean.wav,data\timit_mixed\SI817_snr5.wav,data\noise\volvo.wav,5.0
data\timit_mixed\SA1_clean.wav,data\timit_mixed\SA1_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI2159_clean.wav,data\timit_mixed\SI2159_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI1300_clean.wav,data\timit_mixed\SI1300_snr5.wav,data\noise\machinegun.wav,5.0
data\timit_mixed\SI2245_clean.wav,data\timit_mixed\SI2245_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI1269_clean.wav,data\timit_mixed\SI1269_snr0.wav,data\noise\factory2.wav,0.0
data\timit_mixed\SI620_clean.wav,data\timit_mixed\SI620_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SI1982_clean.wav,data\timit_mixed\SI1982_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI1675_clean.wav,data\timit_mixed\SI1675_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SX68_clean.wav,data\timit_mixed\SX68_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SI1262_clean.wav,data\timit_mixed\SI1262_snr5.wav,data\noise\destroyerengine.wav,5.0
data\timit_mixed\SI1619_clean.wav,data\timit_mixed\SI1619_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SX91_clean.wav,data\timit_mixed\SX91_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SI654_clean.wav,data\timit_mixed\SI654_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI983_clean.wav,data\timit_mixed\SI983_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI2018_clean.wav,data\timit_mixed\SI2018_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI582_clean.wav,data\timit_mixed\SI582_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI1591_clean.wav,data\timit_mixed\SI1591_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI1420_clean.wav,data\timit_mixed\SI1420_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI1237_clean.wav,data\timit_mixed\SI1237_snr5.wav,data\noise\m109.wav,5.0
data\timit_mixed\SI709_clean.wav,data\timit_mixed\SI709_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SI1920_clean.wav,data\timit_mixed\SI1920_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI1717_clean.wav,data\timit_mixed\SI1717_snr-5.wav,data\noise\volvo.wav,-5.0
data\timit_mixed\SI552_clean.wav,data\timit_mixed\SI552_snr10.wav,data\noise\buccaneer1.wav,10.0
data\timit_mixed\SI2234_clean.wav,data\timit_mixed\SI2234_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI1438_clean.wav,data\timit_mixed\SI1438_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI1875_clean.wav,data\timit_mixed\SI1875_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SI1682_clean.wav,data\timit_mixed\SI1682_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SX108_clean.wav,data\timit_mixed\SX108_snr-5.wav,data\noise\babble.wav,-5.0
data\timit_mixed\SI1319_clean.wav,data\timit_mixed\SI1319_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI1315_clean.wav,data\timit_mixed\SI1315_snr10.wav,data\noise\destroyerengine.wav,10.0
data\timit_mixed\SI1151_clean.wav,data\timit_mixed\SI1151_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI810_clean.wav,data\timit_mixed\SI810_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI1692_clean.wav,data\timit_mixed\SI1692_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SX342_clean.wav,data\timit_mixed\SX342_snr0.wav,data\noise\hfchannel.wav,0.0
data\timit_mixed\SI1201_clean.wav,data\timit_mixed\SI1201_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SI2251_clean.wav,data\timit_mixed\SI2251_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SX328_clean.wav,data\timit_mixed\SX328_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SI1206_clean.wav,data\timit_mixed\SI1206_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI1231_clean.wav,data\timit_mixed\SI1231_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI1212_clean.wav,data\timit_mixed\SI1212_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI1506_clean.wav,data\timit_mixed\SI1506_snr0.wav,data\noise\babble.wav,0.0
data\timit_mixed\SI1267_clean.wav,data\timit_mixed\SI1267_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI1410_clean.wav,data\timit_mixed\SI1410_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SX249_clean.wav,data\timit_mixed\SX249_snr-5.wav,data\noise\pink.wav,-5.0
data\timit_mixed\SI496_clean.wav,data\timit_mixed\SI496_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI1358_clean.wav,data\timit_mixed\SI1358_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SI797_clean.wav,data\timit_mixed\SI797_snr10.wav,data\noise\leopard.wav,10.0
data\timit_mixed\SX178_clean.wav,data\timit_mixed\SX178_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SI965_clean.wav,data\timit_mixed\SI965_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SI1203_clean.wav,data\timit_mixed\SI1203_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SI1016_clean.wav,data\timit_mixed\SI1016_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SX271_clean.wav,data\timit_mixed\SX271_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI671_clean.wav,data\timit_mixed\SI671_snr5.wav,data\noise\m109.wav,5.0
data\timit_mixed\SI1021_clean.wav,data\timit_mixed\SI1021_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SI1134_clean.wav,data\timit_mixed\SI1134_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI2031_clean.wav,data\timit_mixed\SI2031_snr10.wav,data\noise\buccaneer1.wav,10.0
data\timit_mixed\SI804_clean.wav,data\timit_mixed\SI804_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI1731_clean.wav,data\timit_mixed\SI1731_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI872_clean.wav,data\timit_mixed\SI872_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI1907_clean.wav,data\timit_mixed\SI1907_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SI2025_clean.wav,data\timit_mixed\SI2025_snr10.wav,data\noise\white.wav,10.0
data\timit_mixed\SI571_clean.wav,data\timit_mixed\SI571_snr5.wav,data\noise\pink.wav,5.0
data\timit_mixed\SI1247_clean.wav,data\timit_mixed\SI1247_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI571_clean.wav,data\timit_mixed\SI571_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI631_clean.wav,data\timit_mixed\SI631_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SX344_clean.wav,data\timit_mixed\SX344_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI795_clean.wav,data\timit_mixed\SI795_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI937_clean.wav,data\timit_mixed\SI937_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI1475_clean.wav,data\timit_mixed\SI1475_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI2087_clean.wav,data\timit_mixed\SI2087_snr10.wav,data\noise\white.wav,10.0
data\timit_mixed\SI2282_clean.wav,data\timit_mixed\SI2282_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI1932_clean.wav,data\timit_mixed\SI1932_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SX175_clean.wav,data\timit_mixed\SX175_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI453_clean.wav,data\timit_mixed\SI453_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI1041_clean.wav,data\timit_mixed\SI1041_snr0.wav,data\noise\hfchannel.wav,0.0
data\timit_mixed\SI1433_clean.wav,data\timit_mixed\SI1433_snr0.wav,data\noise\babble.wav,0.0
data\timit_mixed\SX263_clean.wav,data\timit_mixed\SX263_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI2062_clean.wav,data\timit_mixed\SI2062_snr10.wav,data\noise\white.wav,10.0
data\timit_mixed\SI1884_clean.wav,data\timit_mixed\SI1884_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI1254_clean.wav,data\timit_mixed\SI1254_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI546_clean.wav,data\timit_mixed\SI546_snr-5.wav,data\noise\white.wav,-5.0
data\timit_mixed\SI1932_clean.wav,data\timit_mixed\SI1932_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI1017_clean.wav,data\timit_mixed\SI1017_snr-5.wav,data\noise\m109.wav,-5.0
data\timit_mixed\SI1752_clean.wav,data\timit_mixed\SI1752_snr5.wav,data\noise\destroyerengine.wav,5.0
data\timit_mixed\SX7_clean.wav,data\timit_mixed\SX7_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI1036_clean.wav,data\timit_mixed\SI1036_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI2151_clean.wav,data\timit_mixed\SI2151_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI951_clean.wav,data\timit_mixed\SI951_snr0.wav,data\noise\demo_noise.wav,0.0
data\timit_mixed\SI1821_clean.wav,data\timit_mixed\SI1821_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SI1246_clean.wav,data\timit_mixed\SI1246_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI617_clean.wav,data\timit_mixed\SI617_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SI930_clean.wav,data\timit_mixed\SI930_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI2191_clean.wav,data\timit_mixed\SI2191_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SI1169_clean.wav,data\timit_mixed\SI1169_snr0.wav,data\noise\white.wav,0.0
data\timit_mixed\SI1297_clean.wav,data\timit_mixed\SI1297_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI781_clean.wav,data\timit_mixed\SI781_snr10.wav,data\noise\leopard.wav,10.0
data\timit_mixed\SI2277_clean.wav,data\timit_mixed\SI2277_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SI682_clean.wav,data\timit_mixed\SI682_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI715_clean.wav,data\timit_mixed\SI715_snr-5.wav,data\noise\babble.wav,-5.0
data\timit_mixed\SI1350_clean.wav,data\timit_mixed\SI1350_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI2192_clean.wav,data\timit_mixed\SI2192_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI2071_clean.wav,data\timit_mixed\SI2071_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SI1260_clean.wav,data\timit_mixed\SI1260_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SI672_clean.wav,data\timit_mixed\SI672_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI1137_clean.wav,data\timit_mixed\SI1137_snr-5.wav,data\noise\buccaneer1.wav,-5.0
data\timit_mixed\SI1171_clean.wav,data\timit_mixed\SI1171_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI1672_clean.wav,data\timit_mixed\SI1672_snr5.wav,data\noise\destroyerops.wav,5.0
data\timit_mixed\SI1158_clean.wav,data\timit_mixed\SI1158_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SX77_clean.wav,data\timit_mixed\SX77_snr0.wav,data\noise\destroyerengine.wav,0.0
data\timit_mixed\SI2320_clean.wav,data\timit_mixed\SI2320_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI1511_clean.wav,data\timit_mixed\SI1511_snr-5.wav,data\noise\destroyerops.wav,-5.0
data\timit_mixed\SI996_clean.wav,data\timit_mixed\SI996_snr10.wav,data\noise\m109.wav,10.0
data\timit_mixed\SI1869_clean.wav,data\timit_mixed\SI1869_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI528_clean.wav,data\timit_mixed\SI528_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SX21_clean.wav,data\timit_mixed\SX21_snr-5.wav,data\noise\machinegun.wav,-5.0
data\timit_mixed\SI1501_clean.wav,data\timit_mixed\SI1501_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SI1058_clean.wav,data\timit_mixed\SI1058_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1196_clean.wav,data\timit_mixed\SI1196_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI1211_clean.wav,data\timit_mixed\SI1211_snr0.wav,data\noise\hfchannel.wav,0.0
data\timit_mixed\SI1096_clean.wav,data\timit_mixed\SI1096_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SI1504_clean.wav,data\timit_mixed\SI1504_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI525_clean.wav,data\timit_mixed\SI525_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI679_clean.wav,data\timit_mixed\SI679_snr5.wav,data\noise\white.wav,5.0
data\timit_mixed\SX195_clean.wav,data\timit_mixed\SX195_snr5.wav,data\noise\demo_noise.wav,5.0
data\timit_mixed\SI1064_clean.wav,data\timit_mixed\SI1064_snr10.wav,data\noise\white.wav,10.0
data\timit_mixed\SI793_clean.wav,data\timit_mixed\SI793_snr10.wav,data\noise\f16.wav,10.0
data\timit_mixed\SI1065_clean.wav,data\timit_mixed\SI1065_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SI1980_clean.wav,data\timit_mixed\SI1980_snr10.wav,data\noise\demo_noise.wav,10.0
data\timit_mixed\SX444_clean.wav,data\timit_mixed\SX444_snr5.wav,data\noise\volvo.wav,5.0
data\timit_mixed\SI1916_clean.wav,data\timit_mixed\SI1916_snr-5.wav,data\noise\babble.wav,-5.0
data\timit_mixed\SX121_clean.wav,data\timit_mixed\SX121_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI1434_clean.wav,data\timit_mixed\SI1434_snr0.wav,data\noise\buccaneer1.wav,0.0
data\timit_mixed\SX324_clean.wav,data\timit_mixed\SX324_snr10.wav,data\noise\f16.wav,10.0
data\timit_mixed\SI1016_clean.wav,data\timit_mixed\SI1016_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SI2039_clean.wav,data\timit_mixed\SI2039_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI2013_clean.wav,data\timit_mixed\SI2013_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI1805_clean.wav,data\timit_mixed\SI1805_snr-5.wav,data\noise\demo_noise.wav,-5.0
data\timit_mixed\SI1136_clean.wav,data\timit_mixed\SI1136_snr5.wav,data\noise\babble.wav,5.0
data\timit_mixed\SX142_clean.wav,data\timit_mixed\SX142_snr-5.wav,data\noise\destroyerengine.wav,-5.0
data\timit_mixed\SI807_clean.wav,data\timit_mixed\SI807_snr10.wav,data\noise\destroyerengine.wav,10.0
data\timit_mixed\SI1465_clean.wav,data\timit_mixed\SI1465_snr0.wav,data\noise\destroyerengine.wav,0.0
data\timit_mixed\SI555_clean.wav,data\timit_mixed\SI555_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI1234_clean.wav,data\timit_mixed\SI1234_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI705_clean.wav,data\timit_mixed\SI705_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI1327_clean.wav,data\timit_mixed\SI1327_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SI2245_clean.wav,data\timit_mixed\SI2245_snr-5.wav,data\noise\demo_noise.wav,-5.0
data\timit_mixed\SX198_clean.wav,data\timit_mixed\SX198_snr0.wav,data\noise\f16.wav,0.0
data\timit_mixed\SI2102_clean.wav,data\timit_mixed\SI2102_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI851_clean.wav,data\timit_mixed\SI851_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI954_clean.wav,data\timit_mixed\SI954_snr10.wav,data\noise\destroyerops.wav,10.0
data\timit_mixed\SI2101_clean.wav,data\timit_mixed\SI2101_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI1326_clean.wav,data\timit_mixed\SI1326_snr0.wav,data\noise\white.wav,0.0
data\timit_mixed\SI539_clean.wav,data\timit_mixed\SI539_snr0.wav,data\noise\leopard.wav,0.0
data\timit_mixed\SI2131_clean.wav,data\timit_mixed\SI2131_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SI1022_clean.wav,data\timit_mixed\SI1022_snr0.wav,data\noise\white.wav,0.0
data\timit_mixed\SI906_clean.wav,data\timit_mixed\SI906_snr0.wav,data\noise\machinegun.wav,0.0
data\timit_mixed\SI2329_clean.wav,data\timit_mixed\SI2329_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SI1222_clean.wav,data\timit_mixed\SI1222_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI780_clean.wav,data\timit_mixed\SI780_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SX146_clean.wav,data\timit_mixed\SX146_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI2289_clean.wav,data\timit_mixed\SI2289_snr10.wav,data\noise\volvo.wav,10.0
data\timit_mixed\SI1249_clean.wav,data\timit_mixed\SI1249_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI1293_clean.wav,data\timit_mixed\SI1293_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI946_clean.wav,data\timit_mixed\SI946_snr-5.wav,data\noise\buccaneer2.wav,-5.0
data\timit_mixed\SI2229_clean.wav,data\timit_mixed\SI2229_snr-5.wav,data\noise\demo_noise.wav,-5.0
data\timit_mixed\SI1562_clean.wav,data\timit_mixed\SI1562_snr5.wav,data\noise\hfchannel.wav,5.0
data\timit_mixed\SI2269_clean.wav,data\timit_mixed\SI2269_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SX303_clean.wav,data\timit_mixed\SX303_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI1282_clean.wav,data\timit_mixed\SI1282_snr10.wav,data\noise\babble.wav,10.0
data\timit_mixed\SX198_clean.wav,data\timit_mixed\SX198_snr-5.wav,data\noise\f16.wav,-5.0
data\timit_mixed\SI722_clean.wav,data\timit_mixed\SI722_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SI1141_clean.wav,data\timit_mixed\SI1141_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI1456_clean.wav,data\timit_mixed\SI1456_snr0.wav,data\noise\volvo.wav,0.0
data\timit_mixed\SI577_clean.wav,data\timit_mixed\SI577_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SX335_clean.wav,data\timit_mixed\SX335_snr0.wav,data\noise\buccaneer2.wav,0.0
data\timit_mixed\SI483_clean.wav,data\timit_mixed\SI483_snr5.wav,data\noise\pink.wav,5.0
data\timit_mixed\SI1805_clean.wav,data\timit_mixed\SI1805_snr5.wav,data\noise\demo_noise.wav,5.0
data\timit_mixed\SX112_clean.wav,data\timit_mixed\SX112_snr10.wav,data\noise\buccaneer2.wav,10.0
data\timit_mixed\SX253_clean.wav,data\timit_mixed\SX253_snr-5.wav,data\noise\buccaneer1.wav,-5.0
data\timit_mixed\SI1787_clean.wav,data\timit_mixed\SI1787_snr0.wav,data\noise\buccaneer2.wav,0.0
data\timit_mixed\SI2112_clean.wav,data\timit_mixed\SI2112_snr5.wav,data\noise\volvo.wav,5.0
data\timit_mixed\SI1676_clean.wav,data\timit_mixed\SI1676_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SI2134_clean.wav,data\timit_mixed\SI2134_snr0.wav,data\noise\pink.wav,0.0
data\timit_mixed\SI1236_clean.wav,data\timit_mixed\SI1236_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SX86_clean.wav,data\timit_mixed\SX86_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI1953_clean.wav,data\timit_mixed\SI1953_snr5.wav,data\noise\leopard.wav,5.0
data\timit_mixed\SI1248_clean.wav,data\timit_mixed\SI1248_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI2013_clean.wav,data\timit_mixed\SI2013_snr-5.wav,data\noise\factory1.wav,-5.0
data\timit_mixed\SI1962_clean.wav,data\timit_mixed\SI1962_snr5.wav,data\noise\buccaneer2.wav,5.0
data\timit_mixed\SI737_clean.wav,data\timit_mixed\SI737_snr10.wav,data\noise\pink.wav,10.0
data\timit_mixed\SI1734_clean.wav,data\timit_mixed\SI1734_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SI1892_clean.wav,data\timit_mixed\SI1892_snr0.wav,data\noise\demo_noise.wav,0.0
data\timit_mixed\SI1761_clean.wav,data\timit_mixed\SI1761_snr-5.wav,data\noise\factory2.wav,-5.0
data\timit_mixed\SX308_clean.wav,data\timit_mixed\SX308_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI2276_clean.wav,data\timit_mixed\SI2276_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI2054_clean.wav,data\timit_mixed\SI2054_snr0.wav,data\noise\factory1.wav,0.0
data\timit_mixed\SI1057_clean.wav,data\timit_mixed\SI1057_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI2103_clean.wav,data\timit_mixed\SI2103_snr-5.wav,data\noise\hfchannel.wav,-5.0
data\timit_mixed\SI1927_clean.wav,data\timit_mixed\SI1927_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SX201_clean.wav,data\timit_mixed\SX201_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI817_clean.wav,data\timit_mixed\SI817_snr-5.wav,data\noise\volvo.wav,-5.0
data\timit_mixed\SI562_clean.wav,data\timit_mixed\SI562_snr5.wav,data\noise\factory2.wav,5.0
data\timit_mixed\SI1070_clean.wav,data\timit_mixed\SI1070_snr0.wav,data\noise\destroyerops.wav,0.0
data\timit_mixed\SI524_clean.wav,data\timit_mixed\SI524_snr10.wav,data\noise\machinegun.wav,10.0
data\timit_mixed\SI1658_clean.wav,data\timit_mixed\SI1658_snr5.wav,data\noise\machinegun.wav,5.0
data\timit_mixed\SI1651_clean.wav,data\timit_mixed\SI1651_snr10.wav,data\noise\factory1.wav,10.0
data\timit_mixed\SI511_clean.wav,data\timit_mixed\SI511_snr0.wav,data\noise\buccaneer1.wav,0.0
data\timit_mixed\SI2054_clean.wav,data\timit_mixed\SI2054_snr5.wav,data\noise\factory1.wav,5.0
data\timit_mixed\SI2301_clean.wav,data\timit_mixed\SI2301_snr10.wav,data\noise\destroyerengine.wav,10.0
data\timit_mixed\SX52_clean.wav,data\timit_mixed\SX52_snr10.wav,data\noise\leopard.wav,10.0
data\timit_mixed\SI1312_clean.wav,data\timit_mixed\SI1312_snr5.wav,data\noise\buccaneer1.wav,5.0
data\timit_mixed\SI902_clean.wav,data\timit_mixed\SI902_snr-5.wav,data\noise\leopard.wav,-5.0
data\timit_mixed\SX262_clean.wav,data\timit_mixed\SX262_snr-5.wav,data\noise\m109.wav,-5.0
data\timit_mixed\SI1536_clean.wav,data\timit_mixed\SI1536_snr0.wav,data\noise\m109.wav,0.0
data\timit_mixed\SI972_clean.wav,data\timit_mixed\SI972_snr5.wav,data\noise\f16.wav,5.0
data\timit_mixed\SI1763_clean.wav,data\timit_mixed\SI1763_snr-5.wav,data\noise\leopard.wav,-5.0
